customer_state,total_revenue,num_orders,avg_price,avg_freight
SP,5766150.08,40267,109.08409524630065,15.11411010834213
RJ,2034914.18,12214,123.89672050661733,20.8958068877188
MG,1811774.44,11286,119.78572601890595,20.596610878661085
RS,862729.7,5326,118.42378610840636,21.58427945472249
PR,782745.65,4900,118.08675637393767,20.501354461756375
BA,589223.13,3229,134.10270645952576,26.49231398201145
SC,588524.94,3520,122.78604805099289,21.495623927433194
DF,347244.68,2070,125.81555414551606,21.073058375634517
GO,333498.43,1946,124.76678603006191,22.66841732979664
PE,308163.59,1579,144.38316091954025,32.72235057471264
ES,306222.4,1969,116.92986848072563,21.946503401360545
CE,266087.16,1273,154.10759831460675,32.75136235955056
PA,208438.68,933,164.6954562920269,35.533823246878
MT,180248.22,879,147.16093294460643,28.00740524781341
MA,147246.81,712,145.84060075093868,38.44827284105131
PB,136055.53,512,190.99814113597245,43.17660929432014
MS,135704.18,699,142.01612667478685,23.275200974421434
PI,104301.26,471,161.85223506743736,39.1135838150289
RN,100193.18000000001,471,157.0653653846154,35.61382692307692
AL,92912.25,394,181.33852803738318,35.74616822429907
SE,69140.25,334,149.26109919571044,36.10150134048258
TO,59919.7,273,156.41621359223302,37.498673139158576
RO,56916.95,242,167.84875,41.404742647058825
AM,27573.1,144,135.83895705521473,33.32116564417178
AC,19575.33,80,175.0656043956044,40.04791208791209
AP,16071.43,66,166.611375,34.2815
RR,9039.52,41,153.4232608695652,43.08804347826087
