purchase_year,purchase_month,total_revenue,num_orders,avg_price
2016,9,143.46,1,44.99
2016,10,46556.01,267,126.55529780564264
2016,12,19.62,1,10.9
2017,1,127156.98,741,121.92016411378556
2017,2,271241.08,1643,126.03282409897794
2017,3,409893.44,2527,122.73783540802214
2017,4,388755.8,2290,132.27916504096763
2017,5,565707.33,3517,121.62531522551707
2017,6,491104.33,3111,120.81806801943412
2017,7,564738.23,3842,108.46267058291912
2017,8,644348.9,4165,115.32395329441202
2017,9,699528.4,4118,127.94745777027028
2017,10,748085.24,4446,123.84513342292188
2017,11,1151417.97,7237,116.46164521081847
2017,12,834821.36,5461,116.89705270006506
2018,1,1073517.83,7013,114.83401745635909
2018,2,969715.4400000001,6508,109.83943326271186
2018,3,1113708.32,6948,118.33619345163709
2018,4,1128670.42,6752,124.69862228505333
2018,5,1123279.31,6722,125.06804062741064
2018,6,1009743.18,6072,122.44551304098596
2018,7,1016635.7,6118,123.62361159169551
2018,8,981826.42,6330,117.32392837078652
