antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'arts_and_craftmanship'}),frozenset({'garden_tools'}),0.00024341972969826536,0.03628012319155016,1.0583466508620234e-05,0.043478260869565216,1.1984044442189639,1.0,1.752168727913324e-06,1.0075253257542884,0.1655974762872628,0.00028985507246376805,0.0074691182066858675,0.0218849880777231
frozenset({'garden_tools'}),frozenset({'arts_and_craftmanship'}),0.03628012319155016,0.00024341972969826536,1.0583466508620234e-05,0.00029171528588098014,1.1984044442189639,1.0,1.752168727913324e-06,1.0000483096488457,0.17178971875377497,0.00028985507246376805,4.8307315136307705e-05,0.0218849880777231
frozenset({'arts_and_craftmanship'}),frozenset({'toys'}),0.00024341972969826536,0.03994200260353276,1.0583466508620234e-05,0.043478260869565216,1.0885348263864887,1.0,8.607950312608774e-07,1.003696997278125,0.08135374322493227,0.00026343519494204424,0.003683379832908276,0.021871615861385682
frozenset({'toys'}),frozenset({'arts_and_craftmanship'}),0.03994200260353276,0.00024341972969826536,1.0583466508620234e-05,0.00026497085320614734,1.088534826386489,1.0,8.607950312608774e-07,1.000021556835441,0.08471773615689045,0.00026343519494204424,2.1556370753824148e-05,0.021871615861385682
frozenset({'home_comfort_2'}),frozenset({'auto'}),0.00024341972969826536,0.0401219215341793,1.0583466508620234e-05,0.043478260869565216,1.0836535042950697,1.0,8.169992137952949e-07,1.0035089002142672,0.07721460027100274,0.00026226068712300026,0.003496630885404084,0.02187102175633365
frozenset({'auto'}),frozenset({'home_comfort_2'}),0.0401219215341793,0.00024341972969826536,1.0583466508620234e-05,0.0002637826431020839,1.0836535042950697,1.0,8.169992137952949e-07,1.0000203682862043,0.08042251036429394,0.00026226068712300026,2.0367871345556008e-05,0.02187102175633365
frozenset({'la_cuisine'}),frozenset({'baby'}),0.0001270015981034428,0.02949612115952459,1.0583466508620234e-05,0.08333333333333334,2.825230235617749,1.0,6.837411983507836e-06,1.0587315041896095,0.6461286054511776,0.00035739814152966406,0.05547346419483826,0.04184607104413348
frozenset({'baby'}),frozenset({'la_cuisine'}),0.02949612115952459,0.0001270015981034428,1.0583466508620234e-05,0.00035880875493362035,2.825230235617749,1.0,6.837411983507836e-06,1.000231890361122,0.6656815703380589,0.00035739814152966406,0.00023183660044893343,0.04184607104413348
frozenset({'home_confort'}),frozenset({'bed_bath_table'}),0.004127551938361891,0.09712447214960788,0.00045508905987067005,0.11025641025641027,1.1352073047725222,1.0,5.420275658718054e-05,1.014759238794389,0.11959726862754941,0.004514909701805963,0.014544571983324777,0.057471018683833336
frozenset({'bed_bath_table'}),frozenset({'home_confort'}),0.09712447214960788,0.004127551938361891,0.00045508905987067005,0.004685627111256402,1.1352073047725222,1.0,5.420275658718054e-05,1.0005607024153331,0.13191588543015492,0.004514909701805963,0.0005603882043134602,0.057471018683833336
frozenset({'books_general_interest'}),frozenset({'market_place'}),0.005196482055732535,0.0028787028903447037,2.1166933017240467e-05,0.004073319755600815,1.4149844255421111,1.0,6.207805103778833e-06,1.0011995028238052,0.2948104174645729,0.002628120893561104,0.0011980657405663026,0.005713130466035702
frozenset({'market_place'}),frozenset({'books_general_interest'}),0.0028787028903447037,0.005196482055732535,2.1166933017240467e-05,0.007352941176470588,1.414984425542111,1.0,6.207805103778833e-06,1.0021724328920028,0.29412513930902723,0.002628120893561104,0.0021677236578277422,0.005713130466035702
