support,itemsets
0.0018732735720257813,frozenset({'agro_industry_and_commerce'})
0.0025611988950860966,frozenset({'air_conditioning'})
0.002042609036163705,frozenset({'art'})
0.00024341972969826536,frozenset({'arts_and_craftmanship'})
0.0036512959454739805,frozenset({'audio'})
0.0401219215341793,frozenset({'auto'})
0.02949612115952459,frozenset({'baby'})
0.09712447214960788,frozenset({'bed_bath_table'})
0.005196482055732535,frozenset({'books_general_interest'})
0.0005291733254310116,frozenset({'books_imported'})
0.0026987839596981597,frozenset({'books_technical'})
0.0001270015981034428,frozenset({'cds_dvds_musicals'})
0.0013017663805602888,frozenset({'christmas_supplies'})
0.0006667583900430747,frozenset({'cine_photo'})
0.0018415231724999207,frozenset({'computers'})
0.06877136537301427,frozenset({'computers_accessories'})
0.010678717707197815,frozenset({'consoles_games'})
0.0077365140178013905,frozenset({'construction_tools_construction'})
0.0025294484955602358,frozenset({'construction_tools_lights'})
0.001672187708361997,frozenset({'construction_tools_safety'})
0.03737022024193804,frozenset({'cool_stuff'})
0.0020108586366378444,frozenset({'costruction_tools_garden'})
0.000994845851810302,frozenset({'costruction_tools_tools'})
0.0002645866627155058,frozenset({'diapers_and_hygiene'})
0.003037454887974007,frozenset({'drinks'})
0.0005926741244827331,frozenset({'dvds_blu_ray'})
0.026437499338533343,frozenset({'electronics'})
0.0003810047943103284,frozenset({'fashio_female_clothing'})
0.019177241313619864,frozenset({'fashion_bags_accessories'})
7.408426556034164e-05,frozenset({'fashion_childrens_clothes'})
0.0011112639834051246,frozenset({'fashion_male_clothing'})
0.002444780763491274,frozenset({'fashion_shoes'})
0.00027517012922412607,frozenset({'fashion_sport'})
0.0012276821149999472,frozenset({'fashion_underwear_beach'})
0.0022119445003016287,frozenset({'fixed_telephony'})
0.00029633706224136655,frozenset({'flowers'})
0.004624974864267042,frozenset({'food'})
0.0023389460984050716,frozenset({'food_drink'})
0.000952511985775821,frozenset({'furniture_bedroom'})
0.06625250034396266,frozenset({'furniture_decor'})
0.004328637802025676,frozenset({'furniture_living_room'})
0.00039158826081894864,frozenset({'furniture_mattress_and_upholstery'})
0.03628012319155016,frozenset({'garden_tools'})
0.09104956237365987,frozenset({'health_beauty'})
0.007874099082413454,frozenset({'home_appliances'})
0.0023918634309481727,frozenset({'home_appliances_2'})
0.00024341972969826536,frozenset({'home_comfort_2'})
0.004127551938361891,frozenset({'home_confort'})
0.005090647390646332,frozenset({'home_construction'})
0.060421010297712914,frozenset({'housewares'})
0.0024236138304740335,frozenset({'industry_commerce_and_business'})
0.0025294484955602358,frozenset({'kitchen_dining_laundry_garden_furniture'})
0.0001270015981034428,frozenset({'la_cuisine'})
0.010742218506249537,frozenset({'luggage_accessories'})
0.0028787028903447037,frozenset({'market_place'})
0.0004021717273275689,frozenset({'music'})
0.006402997237715241,frozenset({'musical_instruments'})
0.01316583233672357,frozenset({'office_furniture'})
0.0004021717273275689,frozenset({'party_supplies'})
0.032575909913533076,frozenset({'perfumery'})
0.017780223734481994,frozenset({'pet_shop'})
2.1166933017240467e-05,frozenset({'security_and_services'})
0.001449934911680972,frozenset({'signaling_and_security'})
0.006392413771206621,frozenset({'small_appliances'})
0.0007620095886206568,frozenset({'small_appliances_home_oven_and_coffee'})
0.07922783028353107,frozenset({'sports_leisure'})
0.023823383110904147,frozenset({'stationery'})
0.000814926921163758,frozenset({'tablets_printing_image'})
0.04306412522357573,frozenset({'telephony'})
0.03994200260353276,frozenset({'toys'})
0.057701059404997514,frozenset({'watches_gifts'})
1.0583466508620234e-05,"frozenset({'air_conditioning', 'computers_accessories'})"
1.0583466508620234e-05,"frozenset({'sports_leisure', 'air_conditioning'})"
5.2917332543101164e-05,"frozenset({'art', 'furniture_decor'})"
1.0583466508620234e-05,"frozenset({'art', 'stationery'})"
1.0583466508620234e-05,"frozenset({'arts_and_craftmanship', 'garden_tools'})"
1.0583466508620234e-05,"frozenset({'arts_and_craftmanship', 'toys'})"
6.35007990517214e-05,"frozenset({'watches_gifts', 'audio'})"
2.1166933017240467e-05,"frozenset({'baby', 'auto'})"
2.1166933017240467e-05,"frozenset({'bed_bath_table', 'auto'})"
1.0583466508620234e-05,"frozenset({'christmas_supplies', 'auto'})"
5.2917332543101164e-05,"frozenset({'computers_accessories', 'auto'})"
1.0583466508620234e-05,"frozenset({'consoles_games', 'auto'})"
3.17503995258607e-05,"frozenset({'construction_tools_construction', 'auto'})"
3.17503995258607e-05,"frozenset({'cool_stuff', 'auto'})"
1.0583466508620234e-05,"frozenset({'drinks', 'auto'})"
1.0583466508620234e-05,"frozenset({'electronics', 'auto'})"
1.0583466508620234e-05,"frozenset({'fashion_bags_accessories', 'auto'})"
2.1166933017240467e-05,"frozenset({'furniture_decor', 'auto'})"
2.1166933017240467e-05,"frozenset({'garden_tools', 'auto'})"
1.0583466508620234e-05,"frozenset({'health_beauty', 'auto'})"
1.0583466508620234e-05,"frozenset({'home_comfort_2', 'auto'})"
2.1166933017240467e-05,"frozenset({'housewares', 'auto'})"
1.0583466508620234e-05,"frozenset({'luggage_accessories', 'auto'})"
1.0583466508620234e-05,"frozenset({'musical_instruments', 'auto'})"
3.17503995258607e-05,"frozenset({'sports_leisure', 'auto'})"
3.17503995258607e-05,"frozenset({'telephony', 'auto'})"
1.0583466508620234e-05,"frozenset({'watches_gifts', 'auto'})"
0.00017991893064654398,"frozenset({'bed_bath_table', 'baby'})"
1.0583466508620234e-05,"frozenset({'books_general_interest', 'baby'})"
1.0583466508620234e-05,"frozenset({'construction_tools_lights', 'baby'})"
1.0583466508620234e-05,"frozenset({'baby', 'construction_tools_safety'})"
0.00021166933017240466,"frozenset({'cool_stuff', 'baby'})"
2.1166933017240467e-05,"frozenset({'fashion_bags_accessories', 'baby'})"
2.1166933017240467e-05,"frozenset({'fashion_shoes', 'baby'})"
1.0583466508620234e-05,"frozenset({'furniture_bedroom', 'baby'})"
0.0001270015981034428,"frozenset({'furniture_decor', 'baby'})"
1.0583466508620234e-05,"frozenset({'furniture_living_room', 'baby'})"
4.2333866034480934e-05,"frozenset({'garden_tools', 'baby'})"
1.0583466508620234e-05,"frozenset({'health_beauty', 'baby'})"
5.2917332543101164e-05,"frozenset({'housewares', 'baby'})"
1.0583466508620234e-05,"frozenset({'la_cuisine', 'baby'})"
1.0583466508620234e-05,"frozenset({'luggage_accessories', 'baby'})"
1.0583466508620234e-05,"frozenset({'signaling_and_security', 'baby'})"
1.0583466508620234e-05,"frozenset({'sports_leisure', 'baby'})"
0.00020108586366378444,"frozenset({'baby', 'toys'})"
1.0583466508620234e-05,"frozenset({'watches_gifts', 'baby'})"
1.0583466508620234e-05,"frozenset({'bed_bath_table', 'computers_accessories'})"
1.0583466508620234e-05,"frozenset({'bed_bath_table', 'construction_tools_construction'})"
1.0583466508620234e-05,"frozenset({'construction_tools_lights', 'bed_bath_table'})"
1.0583466508620234e-05,"frozenset({'bed_bath_table', 'construction_tools_safety'})"
0.00010583466508620233,"frozenset({'bed_bath_table', 'cool_stuff'})"
