itemset,mean_with_bundle,mean_without_bundle
frozenset({'bed_bath_table'}),136.59539500926232,162.7996587538804
frozenset({'health_beauty'}),164.52256887132398,159.8728273355727
frozenset({'sports_leisure'}),150.52955249799626,161.11734288689667
frozenset({'computers_accessories'}),160.54486611265006,160.27173051090315
frozenset({'furniture_decor'}),145.4027699680511,161.33072937367422
frozenset({'housewares'}),135.04736030828516,161.88934199576124
frozenset({'watches_gifts'}),231.6069057226706,155.9881156918719
frozenset({'telephony'}),93.57074219710002,163.2488248820305
frozenset({'auto'}),175.65005275652865,159.6575953671813
frozenset({'toys'}),145.2475861155273,160.90695207265145
